Designator,Val,Package,Mid X(mm),Mid Y(mm),Rotation,Layer
U2,AMS1117-3.3,SOT-223-3,8.0,41.0,0,Top
Q1,2N7002,SOT-23,14.0,64.0,0,Top
D1,LED Green,LED_0603,5.0,79.0,0,Top
C1,10uF 16V,C_0805,5.0,31.0,0,Top
C2,10uF 16V,C_0805,5.0,50.0,0,Top
C3,100nF 50V,C_0603,12.0,31.0,0,Top
C4,100nF 50V,C_0603,12.0,50.0,0,Top
R1,220R,R_0603,5.0,57.0,0,Top
R2,100R,R_0603,7.0,64.0,0,Top
R3,10k,R_0603,20.0,64.0,0,Top
R4,470R,R_0603,11.0,79.0,0,Top
R5,100k,R_0603,18.0,79.0,0,Top
R6,10k,R_0603,5.0,86.0,0,Top
R7,15k,R_0603,11.0,86.0,0,Top
R8,2k2 0.1%,R_0603,22.0,79.0,0,Top
C5,100nF,C_0603,27.0,79.0,0,Top
R9,2k2 0.1%,R_0603,22.0,86.0,0,Top
C6,100nF,C_0603,27.0,86.0,0,Top
R10,10k,R_0603,34.0,31.0,0,Top
R11,10k,R_0603,38.0,31.0,0,Top
R12,10k,R_0603,42.0,31.0,0,Top
R13,10k,R_0603,34.0,37.0,0,Top
R14,10k,R_0603,38.0,37.0,0,Top
R15,10k,R_0603,42.0,37.0,0,Top
C7,100nF,C_0603,65.0,72.0,0,Top
