Designator,Val,Package,Mid X(mm),Mid Y(mm),Rotation,Layer
U1,ESP32-S3-MINI-1-N8,ESP32-S3-MINI-1,55.0,50.0,0,Top
U3,AMS1117-3.3,SOT-223-3,12.0,40.0,0,Top
U4,MAX31865AAP+T,SSOP-20,20.0,63.0,0,Top
U5,DS3231SN#,SOIC-16W,80.0,52.0,0,Top
U6,MAX31865AAP+T,SSOP-20,20.0,74.0,0,Top
Q1,2N7002,SOT-23,12.0,57.0,0,Top
Rref,430R 0.1%,R_0603,5.0,59.0,90,Top
Rref2,430R 0.1%,R_0603,5.0,70.0,90,Top
R2,4k7,R_0603,73.0,31.0,0,Top
R3,4k7,R_0603,78.0,31.0,0,Top
R7,220R,R_0603,5.0,49.0,0,Top
R_gate,100R,R_0603,5.0,57.0,90,Top
R9,10k,R_0603,20.0,57.0,0,Top
R10,470R,R_0603,43.0,62.0,0,Top
R11,100k,R_0603,35.0,65.0,0,Top
R12,10k,R_0603,50.0,68.0,0,Top
R13,10k,R_0603,55.0,68.0,0,Top
R14,10k,R_0603,60.0,68.0,0,Top
C1,10uF,C_0805,5.0,31.0,0,Top
C2,10uF,C_0805,10.0,31.0,0,Top
C3,100nF,C_0603,15.0,31.0,0,Top
C4,100nF,C_0603,20.0,31.0,0,Top
C7,100nF,C_0603,11.0,59.0,0,Top
C8,100nF,C_0603,73.0,37.0,0,Top
C9,100nF,C_0603,38.0,31.0,0,Top
C10,100nF,C_0603,16.0,59.0,0,Top
C11,100nF,C_0603,11.0,70.0,0,Top
C12,100nF,C_0603,16.0,70.0,0,Top
D1,LED Green,LED_0603,38.0,62.0,0,Top
J5,FPC 24-pin,FPC_24P_0.5mm,49.0,76.0,0,Top
J3,PT100 4-pin,PinHeader_1x04,5.0,66.0,0,Top
J6,PT100 4-pin,PinHeader_1x04,5.0,77.0,0,Top
J7,Level probe,PinHeader_1x02,35.0,72.0,0,Top
J8,Buttons 6-pin,PinHeader_1x06,64.0,76.0,0,Top
